"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","EMPAGE","15_24","PC_AGE","A","1999",28.2,
"BEL","EMPAGE","15_24","PC_AGE","A","2000",29.125,"B"
"BEL","EMPAGE","15_24","PC_AGE","A","2001",29.7,
"BEL","EMPAGE","15_24","PC_AGE","A","2002",29.35,
"BEL","EMPAGE","15_24","PC_AGE","A","2003",27.35,
"BEL","EMPAGE","15_24","PC_AGE","A","2004",27.8,"B"
"BEL","EMPAGE","15_24","PC_AGE","A","2005",27.475,
"BEL","EMPAGE","15_24","PC_AGE","A","2006",27.575,
"BEL","EMPAGE","15_24","PC_AGE","A","2007",27.475,
"BEL","EMPAGE","15_24","PC_AGE","A","2008",27.4,
"BEL","EMPAGE","15_24","PC_AGE","A","2009",25.35,
"BEL","EMPAGE","15_24","PC_AGE","A","2010",25.225,"B"
"BEL","EMPAGE","15_24","PC_AGE","A","2011",26,
"BEL","EMPAGE","15_24","PC_AGE","A","2012",25.25,
"BEL","EMPAGE","15_24","PC_AGE","A","2013",23.625,
"BEL","EMPAGE","15_24","PC_AGE","A","2014",23.2,
"BEL","EMPAGE","15_24","PC_AGE","A","2015",23.35,
"BEL","EMPAGE","15_24","PC_AGE","A","2016",22.75,"B"
"BEL","EMPAGE","15_24","PC_AGE","A","2017",22.7,
"BEL","EMPAGE","15_24","PC_AGE","A","2018",24.975,
"BEL","EMPAGE","15_24","PC_AGE","A","2019",26.575,
"BEL","EMPAGE","15_24","PC_AGE","A","2020",24.075,"B"
"BEL","EMPAGE","25_54","PC_AGE","A","1999",76.225,
"BEL","EMPAGE","25_54","PC_AGE","A","2000",77.375,"B"
"BEL","EMPAGE","25_54","PC_AGE","A","2001",76.625,
"BEL","EMPAGE","25_54","PC_AGE","A","2002",76.525,
"BEL","EMPAGE","25_54","PC_AGE","A","2003",76.5,
"BEL","EMPAGE","25_54","PC_AGE","A","2004",77.25,"B"
"BEL","EMPAGE","25_54","PC_AGE","A","2005",78.3,
"BEL","EMPAGE","25_54","PC_AGE","A","2006",78.375,
"BEL","EMPAGE","25_54","PC_AGE","A","2007",79.675,
"BEL","EMPAGE","25_54","PC_AGE","A","2008",80.45,
"BEL","EMPAGE","25_54","PC_AGE","A","2009",79.75,
"BEL","EMPAGE","25_54","PC_AGE","A","2010",80,"B"
"BEL","EMPAGE","25_54","PC_AGE","A","2011",79.35,
"BEL","EMPAGE","25_54","PC_AGE","A","2012",79.275,
"BEL","EMPAGE","25_54","PC_AGE","A","2013",79.05,
"BEL","EMPAGE","25_54","PC_AGE","A","2014",79.125,
"BEL","EMPAGE","25_54","PC_AGE","A","2015",78.525,
"BEL","EMPAGE","25_54","PC_AGE","A","2016",79.075,"B"
"BEL","EMPAGE","25_54","PC_AGE","A","2017",79.525,
"BEL","EMPAGE","25_54","PC_AGE","A","2018",80.4,
"BEL","EMPAGE","25_54","PC_AGE","A","2019",80.75,
"BEL","EMPAGE","25_54","PC_AGE","A","2020",80.275,"B"
"BEL","EMPAGE","55_64","PC_AGE","A","1999",24.575,
"BEL","EMPAGE","55_64","PC_AGE","A","2000",26.3,"B"
"BEL","EMPAGE","55_64","PC_AGE","A","2001",25.1,
"BEL","EMPAGE","55_64","PC_AGE","A","2002",26.575,
"BEL","EMPAGE","55_64","PC_AGE","A","2003",28.125,
"BEL","EMPAGE","55_64","PC_AGE","A","2004",30,"B"
"BEL","EMPAGE","55_64","PC_AGE","A","2005",31.8,
"BEL","EMPAGE","55_64","PC_AGE","A","2006",31.975,
"BEL","EMPAGE","55_64","PC_AGE","A","2007",34.375,
"BEL","EMPAGE","55_64","PC_AGE","A","2008",34.5,
"BEL","EMPAGE","55_64","PC_AGE","A","2009",35.225,
"BEL","EMPAGE","55_64","PC_AGE","A","2010",37.35,"B"
"BEL","EMPAGE","55_64","PC_AGE","A","2011",38.7,
"BEL","EMPAGE","55_64","PC_AGE","A","2012",39.5,
"BEL","EMPAGE","55_64","PC_AGE","A","2013",41.725,
"BEL","EMPAGE","55_64","PC_AGE","A","2014",42.675,
"BEL","EMPAGE","55_64","PC_AGE","A","2015",44.025,
"BEL","EMPAGE","55_64","PC_AGE","A","2016",45.425,"B"
"BEL","EMPAGE","55_64","PC_AGE","A","2017",48.225,
"BEL","EMPAGE","55_64","PC_AGE","A","2018",50.35,
"BEL","EMPAGE","55_64","PC_AGE","A","2019",52.1,
"BEL","EMPAGE","55_64","PC_AGE","A","2020",53.325,"B"
"CAN","EMPAGE","15_24","PC_AGE","A","1995",53.78333,
"CAN","EMPAGE","15_24","PC_AGE","A","1996",52.66667,
"CAN","EMPAGE","15_24","PC_AGE","A","1997",51.475,
"CAN","EMPAGE","15_24","PC_AGE","A","1998",52.44167,
"CAN","EMPAGE","15_24","PC_AGE","A","1999",54.54167,
"CAN","EMPAGE","15_24","PC_AGE","A","2000",56.23333,
"CAN","EMPAGE","15_24","PC_AGE","A","2001",56.34167,
"CAN","EMPAGE","15_24","PC_AGE","A","2002",57.46667,
"CAN","EMPAGE","15_24","PC_AGE","A","2003",58.15,
"CAN","EMPAGE","15_24","PC_AGE","A","2004",57.83333,
"CAN","EMPAGE","15_24","PC_AGE","A","2005",57.7,
"CAN","EMPAGE","15_24","PC_AGE","A","2006",59.18333,
"CAN","EMPAGE","15_24","PC_AGE","A","2007",60.23333,
"CAN","EMPAGE","15_24","PC_AGE","A","2008",60.20833,
"CAN","EMPAGE","15_24","PC_AGE","A","2009",56.23333,
"CAN","EMPAGE","15_24","PC_AGE","A","2010",55.64167,
"CAN","EMPAGE","15_24","PC_AGE","A","2011",56.15,
"CAN","EMPAGE","15_24","PC_AGE","A","2012",55.24166,
"CAN","EMPAGE","15_24","PC_AGE","A","2013",55.85,
"CAN","EMPAGE","15_24","PC_AGE","A","2014",56.33333,
"CAN","EMPAGE","15_24","PC_AGE","A","2015",56.58333,
"CAN","EMPAGE","15_24","PC_AGE","A","2016",56,
"CAN","EMPAGE","15_24","PC_AGE","A","2017",57.11666,
"CAN","EMPAGE","15_24","PC_AGE","A","2018",57.24166,
"CAN","EMPAGE","15_24","PC_AGE","A","2019",57.78333,
"CAN","EMPAGE","15_24","PC_AGE","A","2020",49.50834,
"CAN","EMPAGE","25_54","PC_AGE","A","1995",76.2,
"CAN","EMPAGE","25_54","PC_AGE","A","1996",76.16666,
"CAN","EMPAGE","25_54","PC_AGE","A","1997",77.325,
"CAN","EMPAGE","25_54","PC_AGE","A","1998",78.35833,
"CAN","EMPAGE","25_54","PC_AGE","A","1999",79.175,
"CAN","EMPAGE","25_54","PC_AGE","A","2000",79.88333,
"CAN","EMPAGE","25_54","PC_AGE","A","2001",79.79166,
"CAN","EMPAGE","25_54","PC_AGE","A","2002",80.25833,
"CAN","EMPAGE","25_54","PC_AGE","A","2003",80.81667,
"CAN","EMPAGE","25_54","PC_AGE","A","2004",81.34167,
"CAN","EMPAGE","25_54","PC_AGE","A","2005",81.325,
"CAN","EMPAGE","25_54","PC_AGE","A","2006",81.41666,
"CAN","EMPAGE","25_54","PC_AGE","A","2007",81.9,
"CAN","EMPAGE","25_54","PC_AGE","A","2008",82.00833,
"CAN","EMPAGE","25_54","PC_AGE","A","2009",80.04166,
"CAN","EMPAGE","25_54","PC_AGE","A","2010",80.20834,
"CAN","EMPAGE","25_54","PC_AGE","A","2011",80.74167,
"CAN","EMPAGE","25_54","PC_AGE","A","2012",81.13333,
"CAN","EMPAGE","25_54","PC_AGE","A","2013",81.33334,
"CAN","EMPAGE","25_54","PC_AGE","A","2014",80.95834,
"CAN","EMPAGE","25_54","PC_AGE","A","2015",81.15,
"CAN","EMPAGE","25_54","PC_AGE","A","2016",81.06667,
"CAN","EMPAGE","25_54","PC_AGE","A","2017",82.025,
"CAN","EMPAGE","25_54","PC_AGE","A","2018",82.44167,
"CAN","EMPAGE","25_54","PC_AGE","A","2019",83.14167,
"CAN","EMPAGE","25_54","PC_AGE","A","2020",79.49167,
"CAN","EMPAGE","55_64","PC_AGE","A","1995",43.1855,
"CAN","EMPAGE","55_64","PC_AGE","A","1996",43.47093,
"CAN","EMPAGE","55_64","PC_AGE","A","1997",44.49408,
"CAN","EMPAGE","55_64","PC_AGE","A","1998",45.31283,
"CAN","EMPAGE","55_64","PC_AGE","A","1999",46.75072,
"CAN","EMPAGE","55_64","PC_AGE","A","2000",48.09698,
"CAN","EMPAGE","55_64","PC_AGE","A","2001",48.18778,
"CAN","EMPAGE","55_64","PC_AGE","A","2002",50.02547,
"CAN","EMPAGE","55_64","PC_AGE","A","2003",53.02614,
"CAN","EMPAGE","55_64","PC_AGE","A","2004",53.90778,
"CAN","EMPAGE","55_64","PC_AGE","A","2005",54.80051,
"CAN","EMPAGE","55_64","PC_AGE","A","2006",55.01205,
"CAN","EMPAGE","55_64","PC_AGE","A","2007",56.19421,
"CAN","EMPAGE","55_64","PC_AGE","A","2008",56.45271,
"CAN","EMPAGE","55_64","PC_AGE","A","2009",56.54104,
"CAN","EMPAGE","55_64","PC_AGE","A","2010",57.22986,
"CAN","EMPAGE","55_64","PC_AGE","A","2011",57.67766,
"CAN","EMPAGE","55_64","PC_AGE","A","2012",58.63425,
"CAN","EMPAGE","55_64","PC_AGE","A","2013",59.4755,
"CAN","EMPAGE","55_64","PC_AGE","A","2014",59.58104,
"CAN","EMPAGE","55_64","PC_AGE","A","2015",60.07846,
"CAN","EMPAGE","55_64","PC_AGE","A","2016",60.85915,
"CAN","EMPAGE","55_64","PC_AGE","A","2017",61.39872,
"CAN","EMPAGE","55_64","PC_AGE","A","2018",62.08804,
"CAN","EMPAGE","55_64","PC_AGE","A","2019",62.61113,
"CAN","EMPAGE","55_64","PC_AGE","A","2020",60.41977,
"CZE","EMPAGE","15_24","PC_AGE","A","1998",41.5,
"CZE","EMPAGE","15_24","PC_AGE","A","1999",38.275,
"CZE","EMPAGE","15_24","PC_AGE","A","2000",36.35,
"CZE","EMPAGE","15_24","PC_AGE","A","2001",34.25,
"CZE","EMPAGE","15_24","PC_AGE","A","2002",32.225,
"CZE","EMPAGE","15_24","PC_AGE","A","2003",29.975,
"CZE","EMPAGE","15_24","PC_AGE","A","2004",27.775,"B"
"CZE","EMPAGE","15_24","PC_AGE","A","2005",27.45,
"CZE","EMPAGE","15_24","PC_AGE","A","2006",27.675,
"CZE","EMPAGE","15_24","PC_AGE","A","2007",28.475,
"CZE","EMPAGE","15_24","PC_AGE","A","2008",28.075,
"CZE","EMPAGE","15_24","PC_AGE","A","2009",26.55,
"CZE","EMPAGE","15_24","PC_AGE","A","2010",25.225,"B"
"CZE","EMPAGE","15_24","PC_AGE","A","2011",24.5,
"CZE","EMPAGE","15_24","PC_AGE","A","2012",25.2,
"CZE","EMPAGE","15_24","PC_AGE","A","2013",25.55,
"CZE","EMPAGE","15_24","PC_AGE","A","2014",27.1,
"CZE","EMPAGE","15_24","PC_AGE","A","2015",28.375,
"CZE","EMPAGE","15_24","PC_AGE","A","2016",28.625,
"CZE","EMPAGE","15_24","PC_AGE","A","2017",29.15,
"CZE","EMPAGE","15_24","PC_AGE","A","2018",28.375,
"CZE","EMPAGE","15_24","PC_AGE","A","2019",28.05,
"CZE","EMPAGE","15_24","PC_AGE","A","2020",25.125,"B"
"CZE","EMPAGE","25_54","PC_AGE","A","1998",83.7,
"CZE","EMPAGE","25_54","PC_AGE","A","1999",81.925,
"CZE","EMPAGE","25_54","PC_AGE","A","2000",81.575,
"CZE","EMPAGE","25_54","PC_AGE","A","2001",82.1,
"CZE","EMPAGE","25_54","PC_AGE","A","2002",82.5,
"CZE","EMPAGE","25_54","PC_AGE","A","2003",81.675,
"CZE","EMPAGE","25_54","PC_AGE","A","2004",81.4,"B"
"CZE","EMPAGE","25_54","PC_AGE","A","2005",82,
"CZE","EMPAGE","25_54","PC_AGE","A","2006",82.55,
"CZE","EMPAGE","25_54","PC_AGE","A","2007",83.45,
"CZE","EMPAGE","25_54","PC_AGE","A","2008",83.85,
"CZE","EMPAGE","25_54","PC_AGE","A","2009",82.5,
"CZE","EMPAGE","25_54","PC_AGE","A","2010",82.15,"B"
"CZE","EMPAGE","25_54","PC_AGE","A","2011",82.825,
"CZE","EMPAGE","25_54","PC_AGE","A","2012",82.975,
"CZE","EMPAGE","25_54","PC_AGE","A","2013",83.5,
"CZE","EMPAGE","25_54","PC_AGE","A","2014",83.825,
"CZE","EMPAGE","25_54","PC_AGE","A","2015",84.5,
"CZE","EMPAGE","25_54","PC_AGE","A","2016",85.725,
"CZE","EMPAGE","25_54","PC_AGE","A","2017",86.675,
"CZE","EMPAGE","25_54","PC_AGE","A","2018",87.45,
"CZE","EMPAGE","25_54","PC_AGE","A","2019",87.45,
"CZE","EMPAGE","25_54","PC_AGE","A","2020",86.55,"B"
"CZE","EMPAGE","55_64","PC_AGE","A","1998",37.15,
"CZE","EMPAGE","55_64","PC_AGE","A","1999",37.55,
"CZE","EMPAGE","55_64","PC_AGE","A","2000",36.275,
"CZE","EMPAGE","55_64","PC_AGE","A","2001",37.075,
"CZE","EMPAGE","55_64","PC_AGE","A","2002",40.75,
"CZE","EMPAGE","55_64","PC_AGE","A","2003",42.25,
"CZE","EMPAGE","55_64","PC_AGE","A","2004",42.675,"B"
"CZE","EMPAGE","55_64","PC_AGE","A","2005",44.475,
"CZE","EMPAGE","55_64","PC_AGE","A","2006",45.2,
"CZE","EMPAGE","55_64","PC_AGE","A","2007",46,
"CZE","EMPAGE","55_64","PC_AGE","A","2008",47.6,
"CZE","EMPAGE","55_64","PC_AGE","A","2009",46.85,
"CZE","EMPAGE","55_64","PC_AGE","A","2010",46.5,"B"
"CZE","EMPAGE","55_64","PC_AGE","A","2011",47.675,
"CZE","EMPAGE","55_64","PC_AGE","A","2012",49.325,
"CZE","EMPAGE","55_64","PC_AGE","A","2013",51.625,
"CZE","EMPAGE","55_64","PC_AGE","A","2014",54,
"CZE","EMPAGE","55_64","PC_AGE","A","2015",55.45,
"CZE","EMPAGE","55_64","PC_AGE","A","2016",58.525,
"CZE","EMPAGE","55_64","PC_AGE","A","2017",62.125,
"CZE","EMPAGE","55_64","PC_AGE","A","2018",65.125,
"CZE","EMPAGE","55_64","PC_AGE","A","2019",66.725,
"CZE","EMPAGE","55_64","PC_AGE","A","2020",68.175,"B"
"DNK","EMPAGE","15_24","PC_AGE","A","1999",65.45,
"DNK","EMPAGE","15_24","PC_AGE","A","2000",65.975,
"DNK","EMPAGE","15_24","PC_AGE","A","2001",62.275,
"DNK","EMPAGE","15_24","PC_AGE","A","2002",63.525,
"DNK","EMPAGE","15_24","PC_AGE","A","2003",59.575,
"DNK","EMPAGE","15_24","PC_AGE","A","2004",62.3,"B"
"DNK","EMPAGE","15_24","PC_AGE","A","2005",62.275,
"DNK","EMPAGE","15_24","PC_AGE","A","2006",64.55,
"DNK","EMPAGE","15_24","PC_AGE","A","2007",65.325,"B"
"DNK","EMPAGE","15_24","PC_AGE","A","2008",62.525,
"DNK","EMPAGE","15_24","PC_AGE","A","2009",58.75,
"DNK","EMPAGE","15_24","PC_AGE","A","2010",54,
"DNK","EMPAGE","15_24","PC_AGE","A","2011",53,
"DNK","EMPAGE","15_24","PC_AGE","A","2012",51.375,
"DNK","EMPAGE","15_24","PC_AGE","A","2013",49.525,
"DNK","EMPAGE","15_24","PC_AGE","A","2014",49.975,
"DNK","EMPAGE","15_24","PC_AGE","A","2015",51.35,"B"
"DNK","EMPAGE","15_24","PC_AGE","A","2016",52.3,"B"
"DNK","EMPAGE","15_24","PC_AGE","A","2017",52.9,
"DNK","EMPAGE","15_24","PC_AGE","A","2018",53.75,
"DNK","EMPAGE","15_24","PC_AGE","A","2019",55,
"DNK","EMPAGE","15_24","PC_AGE","A","2020",53.225,"B"
"DNK","EMPAGE","25_54","PC_AGE","A","1999",83.95,
"DNK","EMPAGE","25_54","PC_AGE","A","2000",84.125,
"DNK","EMPAGE","25_54","PC_AGE","A","2001",84.4,
"DNK","EMPAGE","25_54","PC_AGE","A","2002",84.05,
"DNK","EMPAGE","25_54","PC_AGE","A","2003",83.475,
"DNK","EMPAGE","25_54","PC_AGE","A","2004",83.725,"B"
"DNK","EMPAGE","25_54","PC_AGE","A","2005",84.525,
"DNK","EMPAGE","25_54","PC_AGE","A","2006",86.075,
"DNK","EMPAGE","25_54","PC_AGE","A","2007",86.125,"B"
"DNK","EMPAGE","25_54","PC_AGE","A","2008",86.9,
"DNK","EMPAGE","25_54","PC_AGE","A","2009",84.025,
"DNK","EMPAGE","25_54","PC_AGE","A","2010",82.525,
"DNK","EMPAGE","25_54","PC_AGE","A","2011",82.05,
"DNK","EMPAGE","25_54","PC_AGE","A","2012",81.4,
"DNK","EMPAGE","25_54","PC_AGE","A","2013",81.3,
"DNK","EMPAGE","25_54","PC_AGE","A","2014",81.175,
"DNK","EMPAGE","25_54","PC_AGE","A","2015",81.475,"B"
"DNK","EMPAGE","25_54","PC_AGE","A","2016",81.475,"B"
"DNK","EMPAGE","25_54","PC_AGE","A","2017",81.425,
"DNK","EMPAGE","25_54","PC_AGE","A","2018",82.25,
"DNK","EMPAGE","25_54","PC_AGE","A","2019",82.625,
"DNK","EMPAGE","25_54","PC_AGE","A","2020",82.1,"B"
"DNK","EMPAGE","55_64","PC_AGE","A","1999",54.525,
"DNK","EMPAGE","55_64","PC_AGE","A","2000",55.725,
"DNK","EMPAGE","55_64","PC_AGE","A","2001",57.975,
"DNK","EMPAGE","55_64","PC_AGE","A","2002",57.875,
